,title,category,post_type,features
0,hello there,Plant Biotechnology,blog,hello there Plant Biotechnology blog
1,Ml and AI,Artificial Intelligence|Machine Learning|Information Technology,blog,Ml and AI Artificial Intelligence|Machine Learning|Information Technology blog
2,What is an Operating System ?,Operating Systems,blog,What is an Operating System ? Operating Systems blog
3,Lord Shiva,Drawings,artwork,Lord Shiva Drawings artwork
4,How Competition law evolved?,Competition Laws,blog,How Competition law evolved? Competition Laws blog
5,Raghavan Committee - 2002.,Competition Laws,blog,Raghavan Committee - 2002. Competition Laws blog
6,Let's discuss some Case laws!,Competition Laws,blog,Let's discuss some Case laws! Competition Laws blog
7,Forms of Cartel.,Competition Laws,blog,Forms of Cartel. Competition Laws blog
8,Biodiversity,Eco System,blog,Biodiversity Eco System blog
9,Economic policy,Economic Policies,blog,Economic policy Economic Policies blog
10,Corporate design,Graphic|Graphic Design,artwork,Corporate design Graphic|Graphic Design artwork
11,Trident,Drawings,artwork,Trident Drawings artwork
12,Lord shiva,Drawings,artwork,Lord shiva Drawings artwork
13,Smart City,Painting,artwork,Smart City Painting artwork
14,Om Namah Shivaay,Pen and ink,artwork,Om Namah Shivaay Pen and ink artwork
15,Kid Bu,Drawings,artwork,Kid Bu Drawings artwork
16,MIS,Computer Technology|Information Technology,blog,MIS Computer Technology|Information Technology blog
17,Portrait art,Drawings|Painting,artwork,Portrait art Drawings|Painting artwork
18,CLASSIFYING FORMS OF CARTELS,Competition Laws,blog,CLASSIFYING FORMS OF CARTELS Competition Laws blog
19,Best friend,Graphic Design|Visual Arts|Illustration|Graphic,artwork,Best friend Graphic Design|Visual Arts|Illustration|Graphic artwork
20,Calligraphy,Drawings|Calligraphy,artwork,Calligraphy Drawings|Calligraphy artwork
21,Colours of pushkar.,Photography,artwork,Colours of pushkar. Photography artwork
22,Marital Rape - Rape is Rape,Empowerment,blog,Marital Rape - Rape is Rape Empowerment blog
23,Spirituality,Photography,artwork,Spirituality Photography artwork
24,Library Managment System: Software Requirement Specification (SRS),,project,
25,Navigation system using BFS DFS algorithms,,project,
26,Shadow Sketch,Drawings,artwork,Shadow Sketch Drawings artwork
27,Promotional video.,Video editing,skill,Promotional video. Video editing skill
28,The Periodic Table,Inorganic Chemistry,blog,The Periodic Table Inorganic Chemistry blog
29,Computer Aided Machine Drawing (CAMD),,project,
30,The Chosen,Drawings,artwork,The Chosen Drawings artwork
31,Python 3 Programming Introduction,Programming languages,blog,Python 3 Programming Introduction Programming languages blog
32,Chat App UI Desgin,Conceptual|Graphic Design,artwork,Chat App UI Desgin Conceptual|Graphic Design artwork
33,Workforce Diversity as a Challenge,HR Management,blog,Workforce Diversity as a Challenge HR Management blog
34,Spartan,Drawings,artwork,Spartan Drawings artwork
35,Human Resource Management,Human Resources|HR Management,blog,Human Resource Management Human Resources|HR Management blog
36,Personal growth,Mass Media|International Relations,blog,Personal growth Mass Media|International Relations blog
37,CONTOURING CLAY,Sculptures|Artistic design,artwork,CONTOURING CLAY Sculptures|Artistic design artwork
38,Multipurpose Jewel,Fashion Design|Ceramics|Artistic design,artwork,Multipurpose Jewel Fashion Design|Ceramics|Artistic design artwork
39,Traditional and Modern Sports,Craft|Artistic design,artwork,Traditional and Modern Sports Craft|Artistic design artwork
40,LGBT PRIDE,Fashion Design|Visual Arts|Conceptual|Artistic design,artwork,LGBT PRIDE Fashion Design|Visual Arts|Conceptual|Artistic design artwork
41,Magazine Cover Redefined,Photography|Fashion Design|Visual Arts|Graphic Design|Artistic design,artwork,Magazine Cover Redefined Photography|Fashion Design|Visual Arts|Graphic Design|Artistic design artwork
42,'The Virtual ME',Fashion Design|Visual Arts|Graphic Design|Artistic design|Graphic|Illustration,artwork,'The Virtual ME' Fashion Design|Visual Arts|Graphic Design|Artistic design|Graphic|Illustration artwork
43,Abacus,Mathematics|Linear Algebra,blog,Abacus Mathematics|Linear Algebra blog
